INFO - main.py - 2022-08-29 02:51:09,731 - Using device:cuda
INFO - main.py - 2022-08-29 02:51:09,733 - Writing log file to algorithms/DoubleDQN/logs
INFO - main.py - 2022-08-29 02:51:09,733 - Exp instance id = 2777
INFO - main.py - 2022-08-29 02:51:09,733 - Exp comment = 
INFO - main.py - 2022-08-29 02:51:13,416 - Start Training! Env: CartPole-v0, Algorithm: DoubleDQN
INFO - main.py - 2022-08-29 02:51:54,093 - episode: 66, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:51:54,414 - episode: 67, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 02:51:54,805 - episode: 68, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:51:55,162 - episode: 69, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 02:51:55,697 - episode: 70, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 02:51:56,152 - episode: 71, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:51:56,560 - episode: 72, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:51:56,864 - episode: 73, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 02:51:57,234 - episode: 74, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:51:57,632 - episode: 75, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:51:58,145 - episode: 76, steps: 22, reward: 22.0
INFO - main.py - 2022-08-29 02:51:58,589 - episode: 77, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:51:58,933 - episode: 78, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 02:51:59,270 - episode: 79, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 02:51:59,648 - episode: 80, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:52:00,103 - episode: 81, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:52:00,412 - episode: 82, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 02:52:00,877 - episode: 83, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:52:01,186 - episode: 84, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 02:52:01,519 - episode: 85, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 02:52:01,925 - episode: 86, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:52:02,324 - episode: 87, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:52:02,784 - episode: 88, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 02:52:03,100 - episode: 89, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 02:52:03,568 - episode: 90, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 02:52:03,974 - episode: 91, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:52:04,380 - episode: 92, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:52:04,788 - episode: 93, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 02:52:05,183 - episode: 94, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:52:05,640 - episode: 95, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 02:52:06,156 - episode: 96, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 02:52:06,618 - episode: 97, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 02:52:07,015 - episode: 98, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 02:52:07,314 - episode: 99, steps: 12, reward: 12.0
