INFO - main.py - 2022-08-27 12:08:37,878 - Using device:cuda
INFO - main.py - 2022-08-27 12:08:37,880 - Writing log file to algorithms/QLearning/logs
INFO - main.py - 2022-08-27 12:08:37,880 - Exp instance id = 17274
INFO - main.py - 2022-08-27 12:08:37,881 - Exp comment = 
INFO - main.py - 2022-08-27 12:08:38,008 - Start Training! Env: CliffWalking-v0, Algorithm: QLearning
INFO - main.py - 2022-08-27 12:08:38,454 - episode: 69, steps: 53, reward: -53
INFO - main.py - 2022-08-27 12:08:38,458 - episode: 70, steps: 48, reward: -48
INFO - main.py - 2022-08-27 12:08:38,461 - episode: 71, steps: 53, reward: -53
INFO - main.py - 2022-08-27 12:08:38,466 - episode: 72, steps: 57, reward: -57
INFO - main.py - 2022-08-27 12:08:38,469 - episode: 73, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,473 - episode: 74, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:08:38,477 - episode: 75, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,480 - episode: 76, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,483 - episode: 77, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:08:38,488 - episode: 78, steps: 80, reward: -80
INFO - main.py - 2022-08-27 12:08:38,491 - episode: 79, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,495 - episode: 80, steps: 48, reward: -48
INFO - main.py - 2022-08-27 12:08:38,499 - episode: 81, steps: 57, reward: -57
INFO - main.py - 2022-08-27 12:08:38,502 - episode: 82, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:08:38,504 - episode: 83, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,509 - episode: 84, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,513 - episode: 85, steps: 46, reward: -46
INFO - main.py - 2022-08-27 12:08:38,515 - episode: 86, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:08:38,519 - episode: 87, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,523 - episode: 88, steps: 53, reward: -53
INFO - main.py - 2022-08-27 12:08:38,526 - episode: 89, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:08:38,529 - episode: 90, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:08:38,532 - episode: 91, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:08:38,536 - episode: 92, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:08:38,539 - episode: 93, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:08:38,543 - episode: 94, steps: 38, reward: -38
INFO - main.py - 2022-08-27 12:08:38,547 - episode: 95, steps: 44, reward: -44
INFO - main.py - 2022-08-27 12:08:38,550 - episode: 96, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,553 - episode: 97, steps: 43, reward: -43
INFO - main.py - 2022-08-27 12:08:38,557 - episode: 98, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:08:38,559 - episode: 99, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,563 - episode: 100, steps: 44, reward: -44
INFO - main.py - 2022-08-27 12:08:38,567 - episode: 101, steps: 60, reward: -60
INFO - main.py - 2022-08-27 12:08:38,569 - episode: 102, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,571 - episode: 103, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,575 - episode: 104, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:08:38,577 - episode: 105, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,583 - episode: 106, steps: 70, reward: -70
INFO - main.py - 2022-08-27 12:08:38,585 - episode: 107, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,587 - episode: 108, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,591 - episode: 109, steps: 50, reward: -50
INFO - main.py - 2022-08-27 12:08:38,593 - episode: 110, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,596 - episode: 111, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,598 - episode: 112, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,601 - episode: 113, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:08:38,606 - episode: 114, steps: 63, reward: -63
INFO - main.py - 2022-08-27 12:08:38,609 - episode: 115, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,612 - episode: 116, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:08:38,614 - episode: 117, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,616 - episode: 118, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,619 - episode: 119, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:08:38,622 - episode: 120, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:08:38,625 - episode: 121, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,628 - episode: 122, steps: 50, reward: -50
INFO - main.py - 2022-08-27 12:08:38,630 - episode: 123, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,633 - episode: 124, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,635 - episode: 125, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,639 - episode: 126, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:08:38,643 - episode: 127, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:08:38,647 - episode: 128, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:08:38,648 - episode: 129, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,650 - episode: 130, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,653 - episode: 131, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:08:38,656 - episode: 132, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:08:38,659 - episode: 133, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,661 - episode: 134, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,664 - episode: 135, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:08:38,667 - episode: 136, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,669 - episode: 137, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,672 - episode: 138, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:08:38,675 - episode: 139, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,678 - episode: 140, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:08:38,681 - episode: 141, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,683 - episode: 142, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,686 - episode: 143, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,689 - episode: 144, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:08:38,692 - episode: 145, steps: 48, reward: -48
INFO - main.py - 2022-08-27 12:08:38,695 - episode: 146, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,698 - episode: 147, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,701 - episode: 148, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,704 - episode: 149, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,706 - episode: 150, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,709 - episode: 151, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,712 - episode: 152, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:08:38,717 - episode: 153, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,720 - episode: 154, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,724 - episode: 155, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,727 - episode: 156, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,730 - episode: 157, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:08:38,733 - episode: 158, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:08:38,736 - episode: 159, steps: 37, reward: -37
INFO - main.py - 2022-08-27 12:08:38,738 - episode: 160, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,741 - episode: 161, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,743 - episode: 162, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,745 - episode: 163, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,749 - episode: 164, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:08:38,752 - episode: 165, steps: 41, reward: -41
INFO - main.py - 2022-08-27 12:08:38,755 - episode: 166, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:08:38,758 - episode: 167, steps: 26, reward: -26
