INFO - main.py - 2022-08-27 12:10:42,004 - episode: 69, steps: 74, reward: -74
INFO - main.py - 2022-08-27 12:10:42,007 - episode: 70, steps: 41, reward: -41
INFO - main.py - 2022-08-27 12:10:42,010 - episode: 71, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,013 - episode: 72, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,017 - episode: 73, steps: 72, reward: -72
INFO - main.py - 2022-08-27 12:10:42,021 - episode: 74, steps: 57, reward: -57
INFO - main.py - 2022-08-27 12:10:42,024 - episode: 75, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:10:42,026 - episode: 76, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,031 - episode: 77, steps: 57, reward: -57
INFO - main.py - 2022-08-27 12:10:42,033 - episode: 78, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:10:42,038 - episode: 79, steps: 67, reward: -67
INFO - main.py - 2022-08-27 12:10:42,040 - episode: 80, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,044 - episode: 81, steps: 52, reward: -52
INFO - main.py - 2022-08-27 12:10:42,048 - episode: 82, steps: 58, reward: -58
INFO - main.py - 2022-08-27 12:10:42,054 - episode: 83, steps: 41, reward: -41
INFO - main.py - 2022-08-27 12:10:42,059 - episode: 84, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:10:42,062 - episode: 85, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,067 - episode: 86, steps: 54, reward: -54
INFO - main.py - 2022-08-27 12:10:42,071 - episode: 87, steps: 47, reward: -47
INFO - main.py - 2022-08-27 12:10:42,072 - episode: 88, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:10:42,077 - episode: 89, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:10:42,083 - episode: 90, steps: 54, reward: -54
INFO - main.py - 2022-08-27 12:10:42,086 - episode: 91, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,092 - episode: 92, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:10:42,095 - episode: 93, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,098 - episode: 94, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:10:42,101 - episode: 95, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:10:42,103 - episode: 96, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:10:42,106 - episode: 97, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:10:42,110 - episode: 98, steps: 52, reward: -52
INFO - main.py - 2022-08-27 12:10:42,114 - episode: 99, steps: 48, reward: -48
INFO - main.py - 2022-08-27 12:10:42,116 - episode: 100, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,118 - episode: 101, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:10:42,120 - episode: 102, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,124 - episode: 103, steps: 60, reward: -60
INFO - main.py - 2022-08-27 12:10:42,127 - episode: 104, steps: 41, reward: -140
INFO - main.py - 2022-08-27 12:10:42,131 - episode: 105, steps: 46, reward: -46
INFO - main.py - 2022-08-27 12:10:42,133 - episode: 106, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:10:42,137 - episode: 107, steps: 36, reward: -36
INFO - main.py - 2022-08-27 12:10:42,141 - episode: 108, steps: 37, reward: -37
INFO - main.py - 2022-08-27 12:10:42,147 - episode: 109, steps: 48, reward: -48
INFO - main.py - 2022-08-27 12:10:42,150 - episode: 110, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:10:42,153 - episode: 111, steps: 44, reward: -44
INFO - main.py - 2022-08-27 12:10:42,156 - episode: 112, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,159 - episode: 113, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:10:42,162 - episode: 114, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:10:42,166 - episode: 115, steps: 51, reward: -51
INFO - main.py - 2022-08-27 12:10:42,169 - episode: 116, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:10:42,172 - episode: 117, steps: 40, reward: -40
INFO - main.py - 2022-08-27 12:10:42,175 - episode: 118, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:10:42,177 - episode: 119, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,180 - episode: 120, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,183 - episode: 121, steps: 42, reward: -42
INFO - main.py - 2022-08-27 12:10:42,186 - episode: 122, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:10:42,190 - episode: 123, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:10:42,193 - episode: 124, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:10:42,196 - episode: 125, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,198 - episode: 126, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:10:42,201 - episode: 127, steps: 35, reward: -35
INFO - main.py - 2022-08-27 12:10:42,204 - episode: 128, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,207 - episode: 129, steps: 43, reward: -43
INFO - main.py - 2022-08-27 12:10:42,209 - episode: 130, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,211 - episode: 131, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,214 - episode: 132, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:10:42,217 - episode: 133, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:10:42,219 - episode: 134, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,222 - episode: 135, steps: 34, reward: -34
INFO - main.py - 2022-08-27 12:10:42,225 - episode: 136, steps: 45, reward: -45
INFO - main.py - 2022-08-27 12:10:42,227 - episode: 137, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,229 - episode: 138, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,233 - episode: 139, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,236 - episode: 140, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,239 - episode: 141, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,242 - episode: 142, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:10:42,245 - episode: 143, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,247 - episode: 144, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,250 - episode: 145, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,252 - episode: 146, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:10:42,255 - episode: 147, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:10:42,258 - episode: 148, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:10:42,261 - episode: 149, steps: 28, reward: -127
