INFO - main.py - 2022-09-04 10:41:40,548 - Using device:cuda
INFO - main.py - 2022-09-04 10:41:40,550 - Writing log file to algorithms/A2C/logs
INFO - main.py - 2022-09-04 10:41:40,551 - Exp instance id = 30262
INFO - main.py - 2022-09-04 10:41:40,551 - Exp comment = 
INFO - main.py - 2022-09-04 10:41:44,169 - Start Training! Env: CartPole-v0, Algorithm: A2C
INFO - main.py - 2022-09-04 10:41:59,105 - episode: 66, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,169 - episode: 67, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,206 - episode: 68, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 10:41:59,252 - episode: 69, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:59,310 - episode: 70, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,354 - episode: 71, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:59,414 - episode: 72, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:41:59,477 - episode: 73, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:41:59,539 - episode: 74, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:41:59,587 - episode: 75, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:59,645 - episode: 76, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:41:59,681 - episode: 77, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 10:41:59,727 - episode: 78, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:41:59,790 - episode: 79, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:41:59,841 - episode: 80, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:41:59,885 - episode: 81, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:41:59,925 - episode: 82, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 10:41:59,983 - episode: 83, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:42:00,058 - episode: 84, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:00,153 - episode: 85, steps: 53, reward: 53.0
INFO - main.py - 2022-09-04 10:42:00,201 - episode: 86, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:42:00,246 - episode: 87, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:42:00,314 - episode: 88, steps: 32, reward: 32.0
INFO - main.py - 2022-09-04 10:42:00,357 - episode: 89, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 10:42:00,391 - episode: 90, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 10:42:00,482 - episode: 91, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 10:42:00,528 - episode: 92, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:42:00,574 - episode: 93, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:42:00,638 - episode: 94, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 10:42:00,720 - episode: 95, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 10:42:00,791 - episode: 96, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:00,850 - episode: 97, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:42:00,905 - episode: 98, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:42:00,956 - episode: 99, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:42:01,024 - episode: 100, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:01,075 - episode: 101, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 10:42:01,149 - episode: 102, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:01,227 - episode: 103, steps: 39, reward: 39.0
INFO - main.py - 2022-09-04 10:42:01,272 - episode: 104, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 10:42:01,322 - episode: 105, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:42:01,363 - episode: 106, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 10:42:01,461 - episode: 107, steps: 53, reward: 53.0
INFO - main.py - 2022-09-04 10:42:01,546 - episode: 108, steps: 44, reward: 44.0
INFO - main.py - 2022-09-04 10:42:01,627 - episode: 109, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:42:01,692 - episode: 110, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 10:42:01,734 - episode: 111, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 10:42:01,786 - episode: 112, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:42:01,831 - episode: 113, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:42:01,933 - episode: 114, steps: 56, reward: 56.0
INFO - main.py - 2022-09-04 10:42:01,981 - episode: 115, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:42:02,032 - episode: 116, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 10:42:02,095 - episode: 117, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:42:02,137 - episode: 118, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 10:42:02,183 - episode: 119, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 10:42:02,247 - episode: 120, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 10:42:02,308 - episode: 121, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:42:02,365 - episode: 122, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:42:02,425 - episode: 123, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:42:02,513 - episode: 124, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 10:42:02,586 - episode: 125, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:02,632 - episode: 126, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:42:02,704 - episode: 127, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:02,756 - episode: 128, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:42:02,823 - episode: 129, steps: 30, reward: 30.0
INFO - main.py - 2022-09-04 10:42:02,887 - episode: 130, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 10:42:02,939 - episode: 131, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:42:03,026 - episode: 132, steps: 45, reward: 45.0
INFO - main.py - 2022-09-04 10:42:03,079 - episode: 133, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 10:42:03,174 - episode: 134, steps: 47, reward: 47.0
INFO - main.py - 2022-09-04 10:42:03,249 - episode: 135, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 10:42:03,321 - episode: 136, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:03,369 - episode: 137, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:42:03,444 - episode: 138, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:03,535 - episode: 139, steps: 49, reward: 49.0
INFO - main.py - 2022-09-04 10:42:03,605 - episode: 140, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 10:42:03,655 - episode: 141, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:42:03,702 - episode: 142, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 10:42:03,802 - episode: 143, steps: 55, reward: 55.0
INFO - main.py - 2022-09-04 10:42:03,870 - episode: 144, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:03,955 - episode: 145, steps: 41, reward: 41.0
INFO - main.py - 2022-09-04 10:42:03,997 - episode: 146, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 10:42:04,052 - episode: 147, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 10:42:04,113 - episode: 148, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:42:04,185 - episode: 149, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:04,240 - episode: 150, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:42:04,314 - episode: 151, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:04,375 - episode: 152, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:42:04,470 - episode: 153, steps: 52, reward: 52.0
INFO - main.py - 2022-09-04 10:42:04,550 - episode: 154, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:42:04,610 - episode: 155, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 10:42:04,659 - episode: 156, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 10:42:04,723 - episode: 157, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:42:04,788 - episode: 158, steps: 28, reward: 28.0
INFO - main.py - 2022-09-04 10:42:04,884 - episode: 159, steps: 50, reward: 50.0
INFO - main.py - 2022-09-04 10:42:04,969 - episode: 160, steps: 39, reward: 39.0
INFO - main.py - 2022-09-04 10:42:05,080 - episode: 161, steps: 61, reward: 61.0
INFO - main.py - 2022-09-04 10:42:05,170 - episode: 162, steps: 46, reward: 46.0
INFO - main.py - 2022-09-04 10:42:05,270 - episode: 163, steps: 53, reward: 53.0
INFO - main.py - 2022-09-04 10:42:05,374 - episode: 164, steps: 56, reward: 56.0
INFO - main.py - 2022-09-04 10:42:05,440 - episode: 165, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:42:05,532 - episode: 166, steps: 47, reward: 47.0
INFO - main.py - 2022-09-04 10:42:05,664 - episode: 167, steps: 77, reward: 77.0
INFO - main.py - 2022-09-04 10:42:05,734 - episode: 168, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:05,869 - episode: 169, steps: 79, reward: 79.0
INFO - main.py - 2022-09-04 10:42:05,941 - episode: 170, steps: 32, reward: 32.0
