INFO - main.py - 2022-09-02 02:35:04,690 - Using device:cuda
INFO - main.py - 2022-09-02 02:35:04,692 - Writing log file to algorithms/BaselineReinforce/logs
INFO - main.py - 2022-09-02 02:35:04,692 - Exp instance id = 27627
INFO - main.py - 2022-09-02 02:35:04,692 - Exp comment = 
INFO - main.py - 2022-09-02 02:35:08,797 - Start Training! Env: CartPole-v0, Algorithm: BaselineReinforce
INFO - main.py - 2022-09-02 02:35:25,032 - episode: 66, steps: 20, reward: 20.0
INFO - main.py - 2022-09-02 02:35:25,081 - episode: 67, steps: 15, reward: 15.0
INFO - main.py - 2022-09-02 02:35:25,140 - episode: 68, steps: 22, reward: 22.0
INFO - main.py - 2022-09-02 02:35:25,197 - episode: 69, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:25,273 - episode: 70, steps: 31, reward: 31.0
INFO - main.py - 2022-09-02 02:35:25,338 - episode: 71, steps: 23, reward: 23.0
INFO - main.py - 2022-09-02 02:35:25,410 - episode: 72, steps: 29, reward: 29.0
INFO - main.py - 2022-09-02 02:35:25,483 - episode: 73, steps: 23, reward: 23.0
INFO - main.py - 2022-09-02 02:35:25,544 - episode: 74, steps: 22, reward: 22.0
INFO - main.py - 2022-09-02 02:35:25,591 - episode: 75, steps: 14, reward: 14.0
INFO - main.py - 2022-09-02 02:35:25,653 - episode: 76, steps: 25, reward: 25.0
INFO - main.py - 2022-09-02 02:35:25,719 - episode: 77, steps: 26, reward: 26.0
INFO - main.py - 2022-09-02 02:35:25,769 - episode: 78, steps: 17, reward: 17.0
INFO - main.py - 2022-09-02 02:35:25,829 - episode: 79, steps: 23, reward: 23.0
INFO - main.py - 2022-09-02 02:35:25,917 - episode: 80, steps: 40, reward: 40.0
INFO - main.py - 2022-09-02 02:35:25,998 - episode: 81, steps: 36, reward: 36.0
INFO - main.py - 2022-09-02 02:35:26,076 - episode: 82, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:26,139 - episode: 83, steps: 18, reward: 18.0
INFO - main.py - 2022-09-02 02:35:26,233 - episode: 84, steps: 45, reward: 45.0
INFO - main.py - 2022-09-02 02:35:26,303 - episode: 85, steps: 27, reward: 27.0
INFO - main.py - 2022-09-02 02:35:26,421 - episode: 86, steps: 60, reward: 60.0
INFO - main.py - 2022-09-02 02:35:26,556 - episode: 87, steps: 71, reward: 71.0
INFO - main.py - 2022-09-02 02:35:26,645 - episode: 88, steps: 39, reward: 39.0
INFO - main.py - 2022-09-02 02:35:26,799 - episode: 89, steps: 80, reward: 80.0
INFO - main.py - 2022-09-02 02:35:26,909 - episode: 90, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:27,055 - episode: 91, steps: 80, reward: 80.0
INFO - main.py - 2022-09-02 02:35:27,242 - episode: 92, steps: 107, reward: 107.0
INFO - main.py - 2022-09-02 02:35:27,359 - episode: 93, steps: 57, reward: 57.0
INFO - main.py - 2022-09-02 02:35:27,448 - episode: 94, steps: 41, reward: 41.0
INFO - main.py - 2022-09-02 02:35:27,552 - episode: 95, steps: 52, reward: 52.0
INFO - main.py - 2022-09-02 02:35:27,630 - episode: 96, steps: 33, reward: 33.0
INFO - main.py - 2022-09-02 02:35:27,730 - episode: 97, steps: 48, reward: 48.0
INFO - main.py - 2022-09-02 02:35:27,802 - episode: 98, steps: 28, reward: 28.0
