INFO - main.py - 2022-08-29 10:41:55,076 - Using device:cuda
INFO - main.py - 2022-08-29 10:41:55,077 - Writing log file to algorithms/DQN/logs
INFO - main.py - 2022-08-29 10:41:55,118 - Exp instance id = 41593
INFO - main.py - 2022-08-29 10:41:55,118 - Exp comment = 
INFO - main.py - 2022-08-29 10:41:58,680 - Start Training! Env: CartPole-v0, Algorithm: DQN
INFO - main.py - 2022-08-29 10:42:51,826 - episode: 66, steps: 154, reward: 154.0
INFO - main.py - 2022-08-29 10:42:55,422 - episode: 67, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:42:58,529 - episode: 68, steps: 172, reward: 172.0
INFO - main.py - 2022-08-29 10:43:02,201 - episode: 69, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:05,807 - episode: 70, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:09,378 - episode: 71, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:13,113 - episode: 72, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:16,760 - episode: 73, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:20,379 - episode: 74, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:24,005 - episode: 75, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:27,568 - episode: 76, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:31,244 - episode: 77, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:34,906 - episode: 78, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:38,602 - episode: 79, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:42,270 - episode: 80, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:45,916 - episode: 81, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:49,482 - episode: 82, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:53,163 - episode: 83, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:43:56,765 - episode: 84, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:00,398 - episode: 85, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:03,985 - episode: 86, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:07,559 - episode: 87, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:11,215 - episode: 88, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:14,895 - episode: 89, steps: 200, reward: 200.0
