INFO - main.py - 2022-08-31 22:31:41,003 - Using device:cuda
INFO - main.py - 2022-08-31 22:31:41,025 - Writing log file to algorithms/ActorCritic/logs
INFO - main.py - 2022-08-31 22:31:41,026 - Exp instance id = 31858
INFO - main.py - 2022-08-31 22:31:41,026 - Exp comment = 
INFO - main.py - 2022-08-31 22:31:46,245 - Start Training! Env: CartPole-v0, Algorithm: ActorCritic
INFO - main.py - 2022-08-31 22:32:17,960 - episode: 66, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:18,053 - episode: 67, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:18,191 - episode: 68, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:18,297 - episode: 69, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:18,429 - episode: 70, steps: 11, reward: 11.0
INFO - main.py - 2022-08-31 22:32:18,550 - episode: 71, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:18,683 - episode: 72, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:18,911 - episode: 73, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:19,427 - episode: 74, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:19,898 - episode: 75, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:20,251 - episode: 76, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:20,443 - episode: 77, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:20,628 - episode: 78, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:20,802 - episode: 79, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:21,007 - episode: 80, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:21,204 - episode: 81, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:21,477 - episode: 82, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:21,935 - episode: 83, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:22,397 - episode: 84, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:22,669 - episode: 85, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:22,798 - episode: 86, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:22,936 - episode: 87, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:23,089 - episode: 88, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:23,198 - episode: 89, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:23,363 - episode: 90, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:23,633 - episode: 91, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:24,151 - episode: 92, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:24,683 - episode: 93, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:24,925 - episode: 94, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:25,050 - episode: 95, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:25,309 - episode: 96, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:25,560 - episode: 97, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:25,768 - episode: 98, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:25,940 - episode: 99, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:26,173 - episode: 100, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:26,580 - episode: 101, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:26,998 - episode: 102, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:27,431 - episode: 103, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:27,652 - episode: 104, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:27,909 - episode: 105, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:28,152 - episode: 106, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:28,344 - episode: 107, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:28,553 - episode: 108, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:28,946 - episode: 109, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:29,358 - episode: 110, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:29,801 - episode: 111, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:30,120 - episode: 112, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:30,342 - episode: 113, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:30,527 - episode: 114, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:30,723 - episode: 115, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:30,932 - episode: 116, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:31,393 - episode: 117, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:31,860 - episode: 118, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:32,248 - episode: 119, steps: 9, reward: 9.0
